WD100,Actual,A,B,C,D,E,F,G,H
Annual Average Total Cloud Cover Absolute Errors,0,-5.089336682269665,-0.000368771677644375,nan,-0.0003328563067865886,-0.0002326379751167451,-0.00037084355354277676,-0.00032871971365633357,-0.00040520100425300853
Annual Average Opaque Cloud Cover Values,4.3747573923963925,0.0,N/A,N/A,4.374492854178901,4.37496537763194,4.374461324784292,4.374489854162505,N/A
Annual Average Opaque Cloud Cover Absolute Errors,0,-4.3747573923963925,nan,nan,-0.00026453821749150563,0.00020798523554788062,-0.00029606761210043686,-0.0002675382338876986,nan
Annual Average Total Horizontal Radiation Values,190.68615138714466,189.62878182440917,189.78375654881927,190.2954872398524,189.99478870596045,189.7581101933541,191.03805102907782,190.0260381559902,189.10708546649352
Annual Average Total Horizontal Radiation Absolute Errors,0,-1.057369562735488,-0.9023948383253924,-0.39066414729225585,-0.6913626811842164,-0.9280411937905626,0.3518996419331586,-0.6601132311544688,-1.5790659206511464
Annual Average Diffuse Horizontal Radiation Values,63.5290558282909,62.928302317616165,43.65420418251844,63.52278176972929,63.33244593506139,63.51265664973474,63.48332211175866,63.329887739983796,63.43921468528944
Annual Average Diffuse Horizontal Radiation Absolute Errors,0,-0.6007535106747355,-19.87485164577246,-0.006274058561608342,-0.19660989322950684,-0.016399178556163463,-0.04573371653224001,-0.19916808830710409,-0.08984114300145762
Annual Average Humidity Ratio Values,N/A,0.004937118677931271,0.004970831592780802,0.004912776165715279,N/A,0.0049214802888328515,0.004925204068888825,0.004925036770900278,0.004966095577263155
Annual Average Wet Bulb Temperature Values,N/A,4.917285078205275,4.9021571801518595,4.904974574230625,5.450391938832255,4.908453818077114,4.924982296073433,4.888167291036677,4.954143026504093
Annual Average Sky Temperature Values,N/A,-14.264870418997605,-3.9301967198677183,-2.0219413060851177,-5.150312199644035,-2.031608153683719,-5.059176379113305,-2.0163221872826544,-1.3100744519568823
Annual Average Horizontal Beam Radiation Values,N/A,126.70047950679302,146.1295527563984,126.77270547012355,126.66476638800616,N/A,127.55472891731918,126.6961504160057,125.66787078120282
Annual Average South 90 Total Radiation Values,N/A,137.6688089964608,131.3642387921266,138.94616802592898,136.5992464999064,136.35832585557955,138.00114194623862,137.47522626155396,139.46907221736114
Annual Average South 90 Beam Radiation Values,N/A,93.74811930585683,109.53713810113409,96.51240634228802,94.95969183413891,96.63898250599729,95.80113877492883,94.97597609952643,96.33352333782462
Annual Average South 90 Diffuse Radiation Values,N/A,43.9207000799178,21.827100265403715,42.43376168364101,41.64131498503817,39.719343336183954,42.20000317130978,42.499250162026804,43.13554887953579
Annual Average East 90 Total Radiation Values,N/A,111.75871903185296,98.25928098052167,101.76015503292832,101.33063799789443,99.20623553171866,102.1334269436245,102.18159225969202,103.56878778672606
Annual Average East 90 Beam Radiation Values,N/A,71.46974951478481,76.43218051102426,64.16420825741281,64.23978108541576,64.94046226579023,64.62083890307711,64.17154797136244,65.05340994051271
Annual Average East 90 Diffuse Radiation Values,N/A,40.28897419796781,21.827100265403715,37.59594677551537,37.09202586049024,34.265773296273096,37.51258804054737,38.01004428833026,38.51537784621337
Annual Average North 90 Total Radiation Values,N/A,32.62713506108003,26.57450772892167,30.688092800477207,30.333686976502584,29.023293057335508,30.898962884587196,30.99929594230511,31.533692253381325
Annual Average North 90 Beam Radiation Values,N/A,4.057723256079461,4.747407595683866,3.618789404467408,3.931720273028684,3.978352476470044,3.8681282164234623,3.912238499980693,4.158909729492955
Annual Average North 90 Diffuse Radiation Values,N/A,28.569411576664002,21.827100265403715,27.06930339600985,26.40238909179067,25.04494057405022,27.030834668163727,27.087057442324426,27.374782523888364
Annual Average West 90 Total Radiation Values,N/A,84.1726980248887,84.11284814916513,90.94503926204283,90.73734926048282,88.24190784651259,91.4623111929678,91.25736535249234,92.75596691026661
Annual Average West 90 Beam Radiation Values,N/A,46.65371046923165,62.28574746348598,53.449969394173856,53.77214625072858,54.472630258080095,54.26234558075434,53.6579642379993,54.617493525021146
Annual Average West 90 Diffuse Radiation Values,N/A,37.51899189405183,21.827100265403715,37.4950698678685,36.966507792953905,33.76927761050214,37.199965612213454,37.59940111449321,38.138473385245405
Annual Average 45 East 90 Total Radiation Values,N/A,140.4011001255851,128.32706946907206,133.58136215120683,132.04216667577535,131.00922158831682,133.22353811923213,132.93485180942469,134.78786206382662
Annual Average 45 East 90 Beam Radiation Values,N/A,96.24841340335654,106.49996756860712,91.88271478845554,90.97869007889291,92.34705434456164,91.66998330777021,90.92968195272095,92.18170398445446
Annual Average 45 East 90 Diffuse Radiation Values,N/A,44.15269596985958,21.827100265403715,41.698647362751224,41.0649698370956,38.662167193401324,41.553554811461936,42.00516985670455,42.60615807937068
Annual Average 45 West 90 Total Radiation Values,N/A,118.36963888571755,117.23564010918092,125.18705768331245,124.02571557403854,122.5128660421878,125.10451874885082,124.69782696259085,126.55421758798968
Annual Average 45 West 90 Beam Radiation Values,N/A,76.298166799863,95.40853926394321,83.48254900134694,82.94618862222462,84.2080195084697,83.69090434835174,82.88541244206223,84.12408270842637
Annual Average 45 West 90 Radiation Values,N/A,42.07147950679301,21.827100265403715,41.704508681965095,41.08115255701277,38.30484650133698,41.4136144004991,41.81241452052889,42.43013487956392
Annual Average East 30 Total Radiation Values,N/A,187.14027777143508,180.62129710549334,182.1828775627334,182.03282746341225,181.00384307748726,183.13637202786234,182.56050331473693,182.4425900790422
Annual Average East 30 Beam Radiation Values,N/A,123.60784313277772,139.8913703050147,120.10203281956838,120.30459048602678,120.2297324180493,121.01915225208565,120.30958771051753,119.87680512585483
Annual Average East 30 Diffuse Radiation Values,N/A,63.53244274460556,40.72992804586555,62.080844743165,61.7301513837003,60.77411071414742,62.11721977577672,62.25091560421971,62.565784953189144
Annual Average South 30 Total Radiation Values,N/A,222.13127548806943,220.1120119029977,225.0898130472079,223.61394709459893,223.25032599530215,225.2025261097433,224.13571069282742,224.33356151112062
Annual Average South 30 Beam Radiation Values,N/A,152.99021554972032,179.38208486278802,156.4825831032654,155.5062931442056,156.02096032598925,156.71767933392,155.5437251334173,155.33498987804055
Annual Average South 30 Diffuse Radiation Values,N/A,69.14107089850438,40.72992804586555,68.60722994394224,68.1097350407049,67.22936580179064,68.48484677582326,68.59198555940988,68.99857163308148
Annual Average West 30 Total Radiation Values,N/A,165.39442915857973,168.14510013639608,172.26941158381177,172.37032835993887,170.96880482147887,173.24135152525622,172.62428135262778,172.5683116158004
Annual Average West 30 Beam Radiation Values,N/A,103.82282543669369,127.41517224103669,110.23480868437397,110.69944027892282,110.57153368722834,111.37541453467118,110.66782441320949,110.273754488078
Annual Average West 30 Diffuse Radiation Values,N/A,61.57161582372417,40.72992804586555,62.034602899438454,61.672705421099145,60.39727121489221,61.865936990585034,61.95645693941772,62.29455712772349
Jan Average Dry Bulb Temperature Values,0.8057200538358008,0.8057200538358008,0.7822059674526131,0.805720053835801,0.7826321675343129,0.7867575842592897,0.7810140584742921,0.7916722689075608,0.7824555896373043
Jan Average Dry Bulb Temperature Absolute Errors,0,0.0,-0.02351408638318775,2.220446049250313e-16,-0.023087886301487948,-0.018962469576511154,-0.024705995361508748,-0.014047784928239992,-0.02326446419849648
Jan Average Relative Humidity Values,46.63526244952894,46.631695827725444,46.53681856029045,46.62905086824143,46.67900260864947,46.674183284535125,46.681243232142194,46.660714285714285,46.683673393125225
Jan Average Relative Humidity Absolute Errors,0,-0.0035666218034933195,-0.09844388923848868,-0.006211581287509205,0.04374015912053153,0.038920835006187815,0.04598078261325611,0.025451836185347076,0.048410943596287836
Jan Average Dew Point Temperature Values,-10.437685060565277,-10.437685060565277,-10.45357492270464,-10.436940013191787,N/A,-10.446957510299042,-10.4505390948807,-10.444415966386545,-10.204026966862738
Jan Average Dew Point Temperature Absolute Errors,0,0.0,-0.015889862139362165,0.0007450473734902374,nan,-0.009272449733764176,-0.012854034315422425,-0.006730905821267896,0.2336580937025392
Jan Average Wind Speed Values,3.8082099596231496,3.8082099596231496,3.8148781880629272,3.8082099596231287,3.8030167747285053,3.805491156684501,3.8033848624024493,3.8076974789917317,3.7129430969476203
Jan Average Wind Speed Absolute Errors,0,0.0,0.006668228439777657,-2.0872192862952943e-14,-0.005193184894644265,-0.002718802938648679,-0.004825097220700236,-0.0005124806314178443,-0.0952668626755293
Jan Average Wind Direction Values,181.93808882907132,181.93808882907132,181.8268584487108,166.85733512786004,181.71412061091056,181.81890924004946,181.70384320973824,179.70126050420168,185.1787658243946
Jan Average Wind Direction Absolute Errors,0,0.0,-0.11123038036052435,-15.080753701211279,-0.2239682181607634,-0.11917958902185433,-0.2342456193330804,-2.2368283248696343,3.2406769953232697
Jan Average Station Pressure Values,829.9179004037685,829.9179004037685,830.1100000000658,829.9179004037685,829.9391001853689,829.9249203978467,829.9295395989692,829.9182352941176,835.93999999996
Jan Average Station Pressure Absolute Errors,0,0.0,0.1920995962973393,0.0,0.021199781600444112,0.00701999407817766,0.01163919520070067,0.0003348903491087185,6.022099596191538
Jan Average Total Cloud Cover Values,4.2913862718707945,0.0,4.292848501142514,N/A,4.287465399500884,4.290097754873147,4.287552275867219,4.2883193277310925,4.2874361039693385
Jan Average Total Cloud Cover Absolute Errors,0,-4.2913862718707945,0.001462229271719906,nan,-0.003920872369910455,-0.0012885169976470934,-0.0038339960035758125,-0.003066944139701988,-0.00395016790145597
Jan Average Opaque Cloud Cover Values,3.3405114401076714,0.0,N/A,N/A,3.3379918368795694,3.339759846329689,3.338017157686419,3.338403361344538,N/A
Jan Average Opaque Cloud Cover Absolute Errors,0,-3.3405114401076714,nan,nan,-0.002519603228102074,-0.0007515937779825066,-0.0024942824212526027,-0.0021080787631335696,nan
Jan Average Total Horizontal Radiation Values,104.4293405114401,104.04508748317632,102.1491187949726,103.68725065204572,103.25992224385766,103.53426303642011,103.99337058713623,103.94322876011522,102.9993477241335
Jan Average Total Horizontal Radiation Absolute Errors,0,-0.38425302826378527,-2.2802217164675085,-0.7420898593943832,-1.1694182675824436,-0.8950774750199884,-0.43596992430387616,-0.48611175132488427,-1.4299927873066025
Jan Average Diffuse Horizontal Radiation Values,30.78869448183042,30.556527590847914,20.751630285764204,30.744811071265147,30.450219949311247,30.73779927713405,30.70319824281121,30.441008403361344,30.63761237869773
Jan Average Diffuse Horizontal Radiation Absolute Errors,0,-0.23216689098250498,-10.037064196066215,-0.043883410565271674,-0.3384745325191716,-0.0508952046963671,-0.08549623901920711,-0.3476860784690743,-0.151082103132687
Jan Average Humidity Ratio Values,N/A,0.001976934051144011,0.001972640340906037,0.001967250078061909,N/A,0.001967507541529881,0.00196911098584003,0.0019696532492555034,0.0019414430024388425
Jan Average Wet Bulb Temperature Values,N/A,-3.391588156123822,-3.4135382504368827,-3.373448819041317,-3.0149229569210108,-3.474824344410616,-3.454050812186891,-3.539951923789812,-3.32083852073416
Jan Average Sky Temperature Values,N/A,-28.04387617765814,-17.725944283858084,-14.780299057873451,-19.732922663306773,-14.802743176372111,-19.503793787950688,-14.788467685160457,-13.918154392171752
Jan Average Horizontal Beam Radiation Values,N/A,73.4885598923284,81.39748890227162,72.94243958078063,72.8113021661305,N/A,73.29017234432501,73.50222035675411,72.36173534543585
Jan Average South 90 Total Radiation Values,N/A,187.70010228802155,184.77481469651815,185.45910151924625,185.97851342155712,184.02795592474212,189.05242261187772,186.06261457456225,188.97472855377563
Jan Average South 90 Beam Radiation Values,N/A,150.8969057873486,174.39899960478508,150.36785934643325,151.13183454032426,153.36384010708758,153.55882488548235,150.6097614717762,152.8633627865898
Jan Average South 90 Diffuse Radiation Values,N/A,36.80319919246299,10.375813717220055,35.0912421728129,34.84846702083211,30.664115786037776,35.493597726395365,35.45285310278617,36.111365767185994
Jan Average East 90 Total Radiation Values,N/A,77.01359219380889,62.3461389107945,63.4465576365949,64.199117540868,62.78315086328307,65.64937814445656,64.64394818583331,66.88629900354597
Jan Average East 90 Beam Radiation Values,N/A,53.46925033647376,51.97032790536364,42.349034332301486,43.30166782552848,44.822279554515326,44.38922886933869,43.39420291099976,45.04701129501817
Jan Average East 90 Diffuse Radiation Values,N/A,23.544355316285326,10.375813717220055,21.0975233042934,20.898579004002496,17.960871256996853,21.260149275117872,21.249745274833504,21.839287708527845
Jan Average North 90 Total Radiation Values,N/A,16.417393001345893,10.375813717220055,14.793056541978459,14.576978932373539,13.270976366242941,14.995183234056142,14.825734770061276,15.066995799417503
Jan Average North 90 Beam Radiation Values,N/A,0.0,0.0,1.1970087260632575e-14,0.0,0.0,0.0,0.0,0.0
Jan Average North 90 Diffuse Radiation Values,N/A,16.417393001345893,10.375813717220055,14.793056541978444,14.576978932373539,13.270976366242941,14.995183234056142,14.825734770061276,15.066995799417503
Jan Average West 90 Total Radiation Values,N/A,56.66391386271871,59.29936810356225,63.545163127725424,64.1034456983096,62.11749601792012,65.52556273083596,64.40595934256484,66.33853546647684
Jan Average West 90 Beam Radiation Values,N/A,35.20617765814267,48.9235556459201,42.200995309017486,43.116161078048016,44.13364002483482,44.02339793306703,43.091311202632504,44.449342904043576
Jan Average West 90 Diffuse Radiation Values,N/A,21.45773485868102,10.375813717220055,21.344167818707927,20.988024015061427,17.98385605491635,21.502164797768927,21.314648139932448,21.8891925624334
Jan Average 45 East 90 Total Radiation Values,N/A,153.44351413189773,138.8731013398842,138.29803670254364,139.08921694379853,137.65595641051647,141.4130573150948,139.32224314615394,142.25004340290752
Jan Average 45 East 90 Beam Radiation Values,N/A,121.26740376850606,128.4972849946232,108.73314980605655,109.6834378901074,111.84268202607372,111.54601257417508,109.40128458113675,111.67465481654384
Jan Average 45 East 90 Diffuse Radiation Values,N/A,32.17612920592194,10.375813717220055,29.56488689648722,29.407728339095357,25.813274397986525,29.867044740919702,29.92095856501733,30.575388586364145
Jan Average 45 West 90 Total Radiation Values,N/A,128.41750605652757,135.07244162016428,138.46672698950218,138.93027691369477,136.9211729421999,141.3653699333426,139.04056681600431,141.6365255538233
Jan Average 45 West 90 Beam Radiation Values,N/A,98.90739030955584,124.69662367791356,108.63593052974431,109.44707399884798,111.0888390741704,111.20701779201777,109.0703036756305,111.01762841464186
Jan Average 45 West 90 Radiation Values,N/A,29.51012786002692,10.375813717220055,29.83079645975772,29.484856421036294,25.832334089916543,30.15835214132483,29.97026314037373,30.61889713918134
Jan Average East 30 Total Radiation Values,N/A,107.15617765814265,98.16070559938161,99.35150652445489,99.63856795636433,99.16980081391185,100.70382291203843,100.3949636250781,100.68766377941111
Jan Average East 30 Beam Radiation Values,N/A,74.57173485868103,78.79916837343744,68.22764374793948,68.82051202124322,69.43134654135764,69.51683626641066,69.40789160251877,69.2622019406563
Jan Average East 30 Diffuse Radiation Values,N/A,32.58442934051144,19.36153573649684,31.123862776515452,30.820206923810332,29.738454062109735,31.186986645627755,30.98707202255941,31.4254618387549
Jan Average South 30 Total Radiation Values,N/A,178.4536796769852,177.05333369858863,178.63472297860022,178.35482930205276,177.52456502157756,180.71593726069196,179.01055857637792,179.6815066337024
Jan Average South 30 Beam Radiation Values,N/A,137.2476850605653,157.6917990885871,138.35557148156124,138.4544685921517,139.643414555727,140.25056354066635,138.79415524107193,138.95900847523507
Jan Average South 30 Diffuse Radiation Values,N/A,41.20599865410498,19.36153573649684,40.279151497039,39.90229664715154,37.881150494721254,40.46537372002561,40.21640333530568,40.72249815846722
Jan Average West 30 Total Radiation Values,N/A,92.99892193808884,96.08548606987496,99.19568795410503,99.57431930384357,98.86723443377169,100.71644903558145,100.16732502108037,100.43094063714634
Jan Average West 30 Beam Radiation Values,N/A,61.907804845222074,76.72395113052839,68.0054001864065,68.7417657345757,69.12725025700671,69.3980555131161,69.19051866040317,69.00593018109078
Jan Average West 30 Diffuse Radiation Values,N/A,31.091114401076712,19.36153573649684,31.190287767698525,30.83401904943202,29.739984199136746,31.31839352246535,30.976806360677198,31.42501045605538
Feb Average Dry Bulb Temperature Values,-0.052906110283159294,-0.052906110283159294,-0.06130074372674863,-0.052906110283159294,-0.06174876442501528,-0.06010496638546125,-0.062069794121292876,-0.059936732415333024,-0.06225358003943762
Feb Average Dry Bulb Temperature Absolute Errors,0,0.0,-0.008394633443589337,0.0,-0.008842654141855984,-0.007198856102301955,-0.009163683838133582,-0.0070306221321737306,-0.009347469756278329
Feb Average Relative Humidity Values,54.30774962742176,54.23845007451565,54.05740714987339,54.234607755487815,54.29638304150457,54.30179368034366,54.29884968374055,54.30210271678452,54.288434248990065
Feb Average Relative Humidity Absolute Errors,0,-0.06929955290610934,-0.25034247754836514,-0.07314187193394162,-0.011366585917187422,-0.005955947078099655,-0.00889994368120739,-0.005646910637238989,-0.019315378431691954
Feb Average Dew Point Temperature Values,-8.941058122205662,-8.941058122205662,-8.950136753400248,-8.9403090657648,N/A,-8.94964270242138,-8.952313809996276,-8.949679011071288,-8.693596286918588
Feb Average Dew Point Temperature Absolute Errors,0,0.0,-0.009078631194585185,0.0007490564408616507,nan,-0.008584580215718063,-0.011255687790614033,-0.008620888865625176,0.24746183528707455
Feb Average Wind Speed Values,3.473472429210135,3.473472429210135,3.4830150965917857,3.4734724292101196,3.47190947038642,3.4740445582056783,3.472571210054157,3.4729019352438475,3.309849638709127
Feb Average Wind Speed Absolute Errors,0,0.0,0.00954266738165055,-1.554312234475219e-14,-0.0015629588237149328,0.000572128995543153,-0.0009012191559780725,-0.0005704939662876107,-0.16362279050100792
Feb Average Wind Direction Values,184.06110283159464,184.06110283159464,184.12933472243031,145.57935916542473,184.11029942789352,184.0746571920288,184.11287155318536,167.83401563081503,175.4452872675599
Feb Average Wind Direction Absolute Errors,0,0.0,0.06823189083567627,-38.481743666169905,0.04919659629888429,0.013554360434170576,0.05176872159071877,-16.227087200779607,-8.615815564034733
Feb Average Station Pressure Values,832.7272727272727,832.7272727272727,830.1100000000407,832.7272727272727,832.7363801550791,832.7312560967011,832.7296627599324,832.7307871231857,835.9399999999597
Feb Average Station Pressure Absolute Errors,0,0.0,-2.6172727272320344,0.0,0.009107427806384294,0.0039833694283970544,0.0023900326596049126,0.003514395912930013,3.212727272686948
Feb Average Total Cloud Cover Values,5.259314456035767,0.0,5.254948653073373,N/A,5.259602362014979,5.257780293022828,5.259640229029724,5.258606252326014,5.259881247078536
Feb Average Total Cloud Cover Absolute Errors,0,-5.259314456035767,-0.004365802962394305,nan,0.00028790597921179995,-0.0015341630129395156,0.00032577299395697423,-0.000708203709753441,0.0005667910427691325
Feb Average Opaque Cloud Cover Values,4.248882265275708,0.0,N/A,N/A,4.248531985617947,4.247326562794603,4.248532390756128,4.24804614812058,N/A
Feb Average Opaque Cloud Cover Absolute Errors,0,-4.248882265275708,nan,nan,-0.0003502796577610212,-0.0015557024811050368,-0.00034987451958023996,-0.0008361171551278801,nan
Feb Average Total Horizontal Radiation Values,132.19672131147541,130.90461997019375,131.47722017928288,131.74001408107304,130.75977754478313,130.17770724289008,131.4169601816559,129.87803056985996,129.66217808250138
Feb Average Total Horizontal Radiation Absolute Errors,0,-1.2921013412816649,-0.7195011321925335,-0.4567072304023725,-1.4369437666922806,-2.019014068585335,-0.7797611298195193,-2.3186907416154554,-2.53454322897403
Feb Average Diffuse Horizontal Radiation Values,46.2414307004471,45.50521609538003,33.54992695103431,46.22874065827125,45.899358558643456,46.16582554537059,46.14604852620082,45.89445569965064,46.09668797966076
Feb Average Diffuse Horizontal Radiation Absolute Errors,0,-0.7362146050670688,-12.691503749412789,-0.012690042175847793,-0.34207214180364076,-0.07560515507650933,-0.09538217424627504,-0.34697500079645494,-0.14474272078633987
Feb Average Humidity Ratio Values,N/A,0.0023320253353204174,0.0023328533635957834,0.002320663342771982,N/A,0.002326081903096965,0.0023283343754173114,0.0023286124876196867,0.002305706665838873
Feb Average Wet Bulb Temperature Values,N/A,-3.4575260804769004,-3.467845674428944,-3.439470024441303,-3.140164249697355,-3.516171550857209,-3.490550460153616,-3.5665744190035573,-3.375852852797718
Feb Average Sky Temperature Values,N/A,-28.100521609538,-16.140332225404062,-14.41794895678089,-18.08378680779624,-14.437264979440215,-17.9067048346554,-14.419060093132249,-13.49475131317973
Feb Average Horizontal Beam Radiation Values,N/A,85.39940387481371,97.92729096513624,85.51127342280179,84.86244324573279,N/A,85.27091165545507,83.98357487020938,83.56549010284034
Feb Average South 90 Total Radiation Values,N/A,170.08301937406853,162.94457281211467,169.82702661627417,168.5711345173147,167.4050348624736,171.05086629224505,169.70065232078042,171.4141908701535
Feb Average South 90 Beam Radiation Values,N/A,125.77961698956781,146.1696113714094,128.0464536305514,127.37171616525866,129.55976595450244,129.32312613726674,128.0160078973231,129.07697530129553
Feb Average South 90 Diffuse Radiation Values,N/A,44.30341281669151,16.77496244572108,41.78057298572281,41.20107056215796,37.845268979562384,41.727740154978335,41.68464442345687,42.33721556885814
Feb Average East 90 Total Radiation Values,N/A,86.31844858420268,74.00774325834149,76.36125295587193,76.08320987530801,74.61091630893667,77.43297598816056,76.27713214865777,78.46038321123132
Feb Average East 90 Beam Radiation Values,N/A,54.9373651266766,57.23277758297331,47.67958595812222,48.05683368907565,49.243204526361986,49.019629492883546,47.86434175510073,49.449933839275694
Feb Average East 90 Diffuse Radiation Values,N/A,31.381087928464975,16.77496244572108,28.681666997749648,28.027403255451446,25.367711733749733,28.413346495277022,28.41279039355708,29.010449371955566
Feb Average North 90 Total Radiation Values,N/A,21.909147540983607,16.77496244572108,20.602205408926988,20.058486356435292,19.049468909773612,20.582834497811138,20.47217700754982,20.718413006187124
Feb Average North 90 Beam Radiation Values,N/A,0.0,0.0,1.1590699910208644e-14,0.0,0.0,0.0,0.0,0.0
Feb Average North 90 Diffuse Radiation Values,N/A,21.909147540983607,16.77496244572108,20.602205408926974,20.058486356435292,19.049468909773612,20.582834497811138,20.47217700754982,20.718413006187124
Feb Average West 90 Total Radiation Values,N/A,63.8612563338301,66.34273414088435,71.84104758706405,71.7670912637242,68.98399264286306,72.55946026722108,71.91013533262185,73.40353207425275
Feb Average West 90 Beam Radiation Values,N/A,34.5911609538003,49.56776794850464,42.73182006333834,42.9027288773456,43.38888300381182,43.339072829873444,42.693467266781916,43.64449250461205
Feb Average West 90 Diffuse Radiation Values,N/A,29.270105812220567,16.77496244572108,29.109227523725774,28.865359598186586,25.59510954131019,29.22038743734764,29.21666806583989,29.75903956964063
Feb Average 45 East 90 Total Radiation Values,N/A,146.57194187779433,131.80759003464743,135.7993653285991,134.9348083149187,134.13930800888213,137.10898084082973,135.62682911602107,138.00542945119693
Feb Average 45 East 90 Beam Radiation Values,N/A,106.67908047690015,115.03262847115714,99.16999285618478,99.03127089045057,101.13884115393942,100.75535130311336,99.30053178235897,100.99243508870482
Feb Average 45 East 90 Diffuse Radiation Values,N/A,39.89285096870343,16.77496244572108,36.62937247241432,35.90483239589884,33.00046705471676,36.35362953771635,36.326297333661984,37.01299436249208
Feb Average 45 West 90 Total Radiation Values,N/A,120.92315499254842,123.73131374618269,130.938470914933,130.5186236405089,128.2059372001004,132.10065329736705,131.26225800741216,132.87668385108708
Feb Average 45 West 90 Beam Radiation Values,N/A,83.32613859910582,106.95635305904186,93.59494646273413,93.46387518687425,94.82640538289921,94.62556357277393,93.77742632135362,94.75483938475254
Feb Average 45 West 90 Radiation Values,N/A,37.597026825633385,16.77496244572108,37.34352445219878,37.056772734661585,33.37953169775761,37.475089724593104,37.48483168605868,38.12184446633443
Feb Average East 30 Total Radiation Values,N/A,131.642043219076,125.22812487368641,126.30931489766031,125.48553653138896,124.54048019878158,126.54834532242032,124.95155031086082,125.75024482410201
Feb Average East 30 Beam Radiation Values,N/A,84.82709985096871,93.92561693442448,80.90372300253354,80.6833258576671,80.56117306002785,81.36372114466528,79.97942777510659,80.34408023135006
Feb Average East 30 Diffuse Radiation Values,N/A,46.8149388971684,31.30251222001788,45.405591895126676,44.803773536646844,43.979307344206894,45.18462417775505,44.972122535754416,45.40616459275195
Feb Average South 30 Total Radiation Values,N/A,190.68511028315947,189.19484118798965,193.17399391281657,191.58276291436422,190.25490635931754,193.4963962405015,191.37639265757718,192.04160837700323
Feb Average South 30 Beam Radiation Values,N/A,134.7001564828614,157.89232378405993,138.07935101743655,137.05825150528125,137.47085578241658,138.50833876611603,136.61817378789942,136.80586655661781
Feb Average South 30 Diffuse Radiation Values,N/A,55.98496572280178,31.30251222001788,55.09464289538001,54.526595179876175,52.78405088796494,54.98805747438549,54.75821886967771,55.23574182038524
Feb Average West 30 Total Radiation Values,N/A,115.05322801788375,120.16268332908191,123.27414429806261,122.71327036532274,120.83933439519801,123.36045613068742,122.13308019638139,122.64561353082597
Feb Average West 30 Beam Radiation Values,N/A,69.71891505216095,88.86017066695973,77.28577954086445,77.08347428736676,76.57174628810242,77.36929295008275,76.31371163973944,76.41132284345942
Feb Average West 30 Diffuse Radiation Values,N/A,45.334307004470936,31.30251222001788,45.988364757198234,45.631329233507394,44.26758810428481,45.991163180604694,45.81936855664183,46.23429068736651
Mar Average Dry Bulb Temperature Values,6.126312247644684,6.126312247644684,6.124350759524133,6.126312247644688,6.12429092167445,6.125029296875,6.124168020238229,6.124760504201646,6.123987129647637
Mar Average Dry Bulb Temperature Absolute Errors,0,0.0,-0.0019614881205507473,4.440892098500626e-15,-0.002021325970233967,-0.0012829507696840992,-0.002144227406454924,-0.0015517434430378785,-0.0023251179970467106
